"poll","iso","sector","fuel","units","year","value","country"
"NOx","zaf","Electricity autoproducer [1A1a]","Biomass","ktNO2",2022,0.637306653650566,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Diesel oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Hard coal","ktNO2",2022,26.4534380013392,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity autoproducer [1A1a]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Diesel oil","ktNO2",2022,0.246368218028775,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Hard coal","ktNO2",2022,608.223566096393,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Heavy oil","ktNO2",2022,3.95790176507059,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Electricity public [1A1a]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Biomass","ktNO2",2022,0.0676975584988105,"South Africa"
"NOx","zaf","Heat production [1A1a]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Diesel oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Hard coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Light oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","Heat production [1A1a]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a1bc other transformation [1A1bc]","Process","ktNO2",2022,389.192486111412,"South Africa"
