"poll","iso","sector","fuel","units","year","value","country"
"SO2","zaf","Electricity autoproducer [1A1a]","Biomass","ktSO2",2022,0.0601300578034682,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Diesel oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Hard coal","ktSO2",2022,83.1096970862511,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity autoproducer [1A1a]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Diesel oil","ktSO2",2022,0.413780806586674,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Hard coal","ktSO2",2022,1701.68659444971,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Heavy oil","ktSO2",2022,3.0547215330949,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Electricity public [1A1a]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Biomass","ktSO2",2022,0.00638728323699422,"South Africa"
"SO2","zaf","Heat production [1A1a]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Diesel oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Hard coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","Heat production [1A1a]","Natural gas","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a1bc other transformation [1A1bc]","Process","ktSO2",2022,554.148850674869,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Coal coke","ktSO2",2022,0.0252974568056644,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Diesel oil","ktSO2",2022,0.111014362742766,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Hard coal","ktSO2",2022,57.1269435029408,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Heavy oil","ktSO2",2022,0.339413503677211,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2a ind comb iron steel [1A2a]","Natural gas","ktSO2",2022,0.00943155281577232,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Biomass","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Brown coal","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Coal coke","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Diesel oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Hard coal","ktSO2",2022,36.0960726958436,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Heavy oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Light oil","ktSO2",2022,0,"South Africa"
"SO2","zaf","1a2b ind comb non ferrous metals [1A2b]","Natural gas","ktSO2",2022,0.00038226866736581,"South Africa"
"SO2","zaf","1a2c ind comb chemicals [1A2c]","Biomass","ktSO2",2022,0,"South Africa"
